date,unemp_nsa
1980-01,15.6819344000
1980-02,15.4030491100
1980-03,15.5317654000
1980-04,14.0729808000
1980-05,14.4162242400
1980-06,14.1158862300
1980-07,14.0300753800
1980-08,13.9871699500
1980-09,13.0432505000
1980-10,12.9574396400
1980-11,12.4640272100
1980-12,11.6273713400
1981-01,16.3684212700
1981-02,16.9476445700
1981-03,17.6341314400
1981-04,17.9773748700
1981-05,17.5054151500
1981-06,17.1407190000
1981-07,17.7199422900
1981-08,17.9344694400
1981-09,16.6044011300
1981-10,16.1324414100
1981-11,16.4327794200
1981-12,14.9525421100
1982-01,19.6935920400
1982-02,17.4196042900
1982-03,17.5697732900
1982-04,14.3518661000
1982-05,15.4459545400
1982-06,14.8881839600
1982-07,14.8023731000
1982-08,14.4162242400
1982-09,13.6010210800
1982-10,12.8716287800
1982-11,11.9062566300
1982-12,10.9194317500
1983-01,15.4459545400
1983-02,16.0251778400
1983-03,17.2694352900
1983-04,17.3337934300
1983-05,16.8189282800
1983-06,16.5829484200
1983-07,16.3255158400
1983-08,16.5614957000
1983-09,16.7545701300
1983-10,16.0895359800
1983-11,15.4245018300
1983-12,14.2660552400
1984-01,17.5268678600
1984-02,18.7496726000
1984-03,19.6721393300
1984-04,19.1143687500
1984-05,19.9939300500
1984-06,18.8783888800
1984-07,17.9559221500
1984-08,17.8701113000
1984-09,16.3898739900
1984-10,15.6390289700
1984-11,14.8881839600
1984-12,13.0432505000
1985-01,15.2528801100
1985-02,15.5532181200
1985-03,15.4888599700
1985-04,14.8023731000
1985-05,14.0944335200
1985-06,13.4293993700
1985-07,12.8072706400
1985-08,11.9491620600
1985-09,11.1768643300
1985-10,10.0613231700
1985-11,9.2675727250
1985-12,8.0662207050
1986-01,10.0398704500
1986-02,10.7049046100
1986-03,10.4474720300
1986-04,9.8038905910
1986-05,9.5893634450
1986-06,8.9243292910
1986-07,8.5596331420
1986-08,8.2592951370
1986-09,7.6586191270
1986-10,6.9506795440
1986-11,6.2212872460
1986-12,5.5133476630
1987-01,7.4869974100
1987-02,7.8087881290
1987-03,7.8731462730
1987-04,8.0233152760
1987-05,9.2461200100
1987-06,10.4260193200
1987-07,10.4260193200
1987-08,9.8038905910
1987-09,9.4606471570
1987-10,9.1388564370
1987-11,8.4523695690
1987-12,6.9077741150
1988-01,8.8814238620
1988-02,10.4260193200
1988-03,10.2114921700
1988-04,9.3533835840
1988-05,9.2675727250
1988-06,8.9672347200
1988-07,8.9886874350
1988-08,9.3533835840
1988-09,8.9886874350
1988-10,8.3880114250
1988-11,7.7229772710
1988-12,7.1652066900
1989-01,9.0315928640
1989-02,9.4391944420
1989-03,9.7180797330
1989-04,9.0959510080
1989-05,7.7444299860
1989-06,7.7658827000
1989-07,7.3153756930
1989-08,7.4440919810
1989-09,7.3797338370
1989-10,7.0364904020
1989-11,5.8565910970
1989-12,5.7922329530
1990-01,7.6371664120
1990-02,8.2163897080
1990-03,9.4391944420
1990-04,11.0910534700
1990-05,12.1207837700
1990-06,11.3270333300
1990-07,10.4260193200
1990-08,10.4260193200
1990-09,9.8467960200
1990-10,9.7609851620
1990-11,9.9111541640
1990-12,9.5679107300
1991-01,12.1636892000
1991-02,12.7214597800
1991-03,13.7511900900
1991-04,13.1719667900
1991-05,13.3435885100
1991-06,11.3699387600
1991-07,8.7312548590
1991-08,9.3748362980
1991-09,9.9755123080
1991-10,10.1042286000
1991-11,10.4045666000
1991-12,9.8897014500
1992-01,11.2626751900
1992-02,14.5449405300
1992-03,14.6736568100
1992-04,14.0515280900
1992-05,14.9739948200
1992-06,11.8848039100
1992-07,12.2924054900
1992-08,13.5795683700
1992-09,13.2363249300
1992-10,13.4293993700
1992-11,13.4723047900
1992-12,10.7478100400
1993-01,13.8370009400
1993-02,13.5152102200
1993-03,13.4079466500
1993-04,14.0944335200
