data,desemprego_nsa,desemprego_sa,indicador_made,acionado
1980-01,15.6819,14.6366,,
1980-02,15.403,13.972,,
1980-03,15.5318,13.7631,,
1980-04,14.073,13.0282,,
1980-05,14.4162,13.7218,,
1980-06,14.1159,13.8547,,
1980-07,14.0301,13.8138,,
1980-08,13.9872,13.8947,,
1980-09,13.0433,13.775,,
1980-10,12.9574,14.1119,,
1980-11,12.464,14.3165,,
1980-12,11.6274,14.6438,,
1981-01,16.3684,15.3296,,
1981-02,16.9476,15.4235,,
1981-03,17.6341,15.6421,1.9607,1
1981-04,17.9774,16.6358,2.3961,1
1981-05,17.5054,16.6455,2.8035,1
1981-06,17.1407,16.779,3.1519,1
1981-07,17.7199,17.461,3.1651,1
1981-08,17.9345,17.7957,3.5174,1
1981-09,16.6044,17.4763,3.7498,1
1981-10,16.1324,17.5421,3.6775,1
1981-11,16.4328,18.8209,3.8786,1
1981-12,14.9525,18.7834,4.0247,1
1982-01,19.6936,18.6034,3.9726,1
1982-02,17.4196,15.9631,2.651,1
1982-03,17.5698,15.6333,1.2682,1
1982-04,14.3519,13.2611,-0.948,0
1982-05,15.446,14.6578,-0.4351,0
1982-06,14.8882,14.5063,-0.3757,0
1982-07,14.8024,14.5672,0.4354,1
1982-08,14.4162,14.2814,0.3099,1
1982-09,13.601,14.2159,0.2131,0
1982-10,12.8716,13.9682,0.0134,0
1982-11,11.9063,13.5855,-0.2185,0
1982-12,10.9194,13.695,-0.1736,0
1983-01,15.446,14.8074,0.2797,0
1983-02,16.0252,14.7843,0.6793,1
1983-03,17.2694,15.4363,1.2598,1
1983-04,17.3338,16.0373,1.6698,1
1983-05,16.8189,15.9029,2.0426,1
1983-06,16.5829,16.0469,2.2461,1
1983-07,16.3255,16.0114,2.2375,1
1983-08,16.5615,16.3487,2.3861,1
1983-09,16.7546,17.3456,2.819,1
1983-10,16.0895,17.4037,3.2831,1
1983-11,15.4245,17.5786,3.6931,1
1983-12,14.2661,17.9292,3.8876,1
1984-01,17.5269,17.055,3.4917,1
1984-02,18.7497,17.4447,3.0474,1
1984-03,19.6721,17.6942,2.3886,1
1984-04,19.1144,17.715,2.1987,1
1984-05,19.9939,18.8175,2.2834,1
1984-06,18.8784,18.1315,2.2343,1
1984-07,17.9559,17.5261,2.1713,1
1984-08,17.8701,17.5597,1.6035,1
1984-09,16.3899,16.7926,0.7242,1
1984-10,15.639,16.852,0.0354,0
1984-11,14.8882,16.9672,-0.1975,0
1984-12,13.0433,16.4586,-0.1114,0
1985-01,15.2529,15.0674,-0.5949,0
1985-02,15.5532,14.5563,-0.8036,0
1985-03,15.4889,13.9948,-0.8212,0
1985-04,14.8024,13.794,-0.4245,0
1985-05,14.0944,13.2066,-0.4499,0
1985-06,13.4294,12.818,-0.3923,0
1985-07,12.8073,12.4434,-0.4502,0
1985-08,11.9492,11.6582,-0.5161,0
1985-09,11.1769,11.3589,-0.4863,0
1985-10,10.0613,10.8012,-0.5474,0
1985-11,9.2676,10.5902,-0.356,0
1985-12,8.0662,10.2274,-0.3772,0
1986-01,10.0399,10.0153,-0.262,0
1986-02,10.7049,10.0674,-0.1743,0
1986-03,10.4475,9.4657,-0.2539,0
1986-04,9.8039,9.1811,-0.2781,0
1986-05,9.5894,8.9569,-0.3702,0
1986-06,8.9243,8.4795,-0.3288,0
1986-07,8.5596,8.2956,-0.2952,0
1986-08,8.2593,8.021,-0.312,0
1986-09,7.6586,7.74,-0.2465,0
1986-10,6.9507,7.4374,-0.2861,0
1986-11,6.2213,7.1254,-0.2985,0
1986-12,5.5133,7.0231,-0.239,0
1987-01,7.487,7.5059,0.0228,0
1987-02,7.8088,7.3574,0.1002,0
1987-03,7.8731,7.1167,0.1314,0
1987-04,8.0233,7.5443,0.1441,0
1987-05,9.2461,8.6261,0.567,1
1987-06,10.426,9.8829,1.4891,1
1987-07,10.426,10.1354,2.3528,1
1987-08,9.8039,9.5178,2.65,1
1987-09,9.4606,9.527,2.5314,1
1987-10,9.1389,9.7699,2.4096,1
